Objective/KR,Project,Sprint,Owner,Priority,Status,Health,Due Date,Estimate Point,Done Point,Remaining Point,Risk / Issue,Next Action,Daily Flag
,,,Member 1,🚨 Khẩn cấp,🚦 Chưa bắt đầu,On Track,,,,#REF!,,,FALSE
,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,FALSE
